Type,Domain,Prefix,sbr-nl,local,xbrl
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-340,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines611,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines135,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-273,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-265,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-645,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-213,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-b4,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-common-practice,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-226,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-350,False,True,False
roles,rj,urn:rj:linkrole:annual-reporting-guidelines-396,False,True,False
